Date,Loss Amount
28-09-2018,683.1
27-09-2018,697.15
26-09-2018,711.6
25-09-2018,718.15
24-09-2018,721.9
21-09-2018,717.4
19-09-2018,736.15
18-09-2018,757.85
17-09-2018,778.7
14-09-2018,730.7
12-09-2018,731.15
11-09-2018,733.35
10-09-2018,735.1
07-09-2018,735.8
06-09-2018,737.75
05-09-2018,730.05
04-09-2018,737.75
03-09-2018,746.15
31-08-2018,739.8
30-08-2018,734.65
29-08-2018,736.9
28-08-2018,745.7
27-08-2018,749.85
24-08-2018,747.5
23-08-2018,738.9
21-08-2018,743.45
20-08-2018,747.3
17-08-2018,759
16-08-2018,758.4
14-08-2018,771.9
13-08-2018,777.5
10-08-2018,787.45
09-08-2018,795.4
08-08-2018,793.85
07-08-2018,798.35
06-08-2018,810.1
03-08-2018,823.3
02-08-2018,803.25
01-08-2018,798.9
31-07-2018,793.15
30-07-2018,798.15
27-07-2018,803.8
26-07-2018,809.7
25-07-2018,814.05
24-07-2018,834.7
23-07-2018,831.55
20-07-2018,828.5
19-07-2018,823.45
18-07-2018,833.35
17-07-2018,833.35
16-07-2018,821.3
13-07-2018,833.05
12-07-2018,865.8
11-07-2018,870.5
10-07-2018,878.55
09-07-2018,873.45
06-07-2018,872
05-07-2018,860.95
04-07-2018,854.9
03-07-2018,839.25
02-07-2018,840.15
29-06-2018,839.75
28-06-2018,837.2
27-06-2018,847.05
26-06-2018,843.4
25-06-2018,848.85
22-06-2018,849.85
21-06-2018,854.9
20-06-2018,858.95
19-06-2018,859.1
18-06-2018,862.9
15-06-2018,859.4
14-06-2018,858.55
13-06-2018,849.6
12-06-2018,855
11-06-2018,834.1
08-06-2018,832.2
07-06-2018,829.15
06-06-2018,827.9
05-06-2018,830.1
04-06-2018,830.85
01-06-2018,834.8
31-05-2018,829.2
30-05-2018,830.2
29-05-2018,828.9
28-05-2018,833.8
25-05-2018,826.65
24-05-2018,807.6
23-05-2018,806.3
22-05-2018,806.05
21-05-2018,806.4
18-05-2018,814.8
17-05-2018,814.75
16-05-2018,815.15
15-05-2018,815.6
14-05-2018,816.85
11-05-2018,817.6
10-05-2018,819.3
09-05-2018,822.35
08-05-2018,823.15
07-05-2018,819.1
04-05-2018,818.25
03-05-2018,817.35
02-05-2018,814.8
30-04-2018,824
27-04-2018,812.05
26-04-2018,809.25
25-04-2018,811.8
24-04-2018,807.7
23-04-2018,813.1
20-04-2018,818.5
19-04-2018,813.6
18-04-2018,825.05
17-04-2018,827.75
16-04-2018,828.05
13-04-2018,837.55
12-04-2018,824.75
11-04-2018,814.5
10-04-2018,820.35
09-04-2018,817.4
06-04-2018,810.3
05-04-2018,808.95
04-04-2018,800.7
03-04-2018,787.8
02-04-2018,772.25
28-03-2018,756.2
27-03-2018,744.05
26-03-2018,732.55
23-03-2018,737.85
22-03-2018,736
21-03-2018,765.4
20-03-2018,765.45
19-03-2018,769.45
16-03-2018,779.3
15-03-2018,781.25
14-03-2018,797
13-03-2018,795.8
12-03-2018,788.45
09-03-2018,774
08-03-2018,766.95
07-03-2018,778.25
06-03-2018,795.05
05-03-2018,800.35
01-03-2018,800.6
28-02-2018,798.7
27-02-2018,802.85
26-02-2018,806.25
23-02-2018,800.8
22-02-2018,800.95
21-02-2018,806.35
20-02-2018,807.7
19-02-2018,807.35
16-02-2018,811.7
15-02-2018,813.4
14-02-2018,823.3
12-02-2018,831.85
09-02-2018,824.85
08-02-2018,833.25
07-02-2018,846.05
06-02-2018,824.3
05-02-2018,826.05
02-02-2018,849.35
01-02-2018,870.8
31-01-2018,892.5
30-01-2018,898.2
29-01-2018,903.05
25-01-2018,913.7
24-01-2018,911.2
23-01-2018,915.2
22-01-2018,915.35
19-01-2018,909.6
18-01-2018,921.5
17-01-2018,934.85
16-01-2018,939.65
15-01-2018,981.2
12-01-2018,961.95
11-01-2018,940.5
10-01-2018,942.6
09-01-2018,945.5
08-01-2018,954.15
05-01-2018,945.95
04-01-2018,930.6
03-01-2018,936.4
02-01-2018,940
01-01-2018,930.95
29-12-2017,909.45
28-12-2017,925.05
27-12-2017,910.95
26-12-2017,907.45
22-12-2017,904.2
21-12-2017,903.5
20-12-2017,890.75
19-12-2017,894.2
18-12-2017,899.15
15-12-2017,899.75
14-12-2017,899.6
13-12-2017,903.7
12-12-2017,905.4
11-12-2017,905.4
08-12-2017,916.6
07-12-2017,922.2
06-12-2017,913.85
05-12-2017,921.95
04-12-2017,929.95
01-12-2017,929.85
30-11-2017,928.1
29-11-2017,930.9
28-11-2017,937.8
27-11-2017,940.35
24-11-2017,943.4
23-11-2017,948.95
22-11-2017,949.25
21-11-2017,951
20-11-2017,961.65
17-11-2017,962.3
16-11-2017,967.65
15-11-2017,967.2
14-11-2017,972.55
13-11-2017,978.05
10-11-2017,973.05
09-11-2017,977.1
08-11-2017,979.5
07-11-2017,987.25
06-11-2017,989.15
03-11-2017,984.55
